id,country,product_services,revenue_omu,type,type_length,is_source,is_target,weighted_degree,degree,total_revenue,type_set,neighbor_BO,neighbor_CC,total_rev_per_BO,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,related
Harris Inc,ZH,"['Unknown', 'Arctic pelagic fish, specializing in mackerel, horse mackerel, herring and capelin', 'Foreign labor dispatching services']","[19884.5027, 649884.0866, 'None']","{'Company': 2, 'Beneficial Owner': 5, 'Company Contacts': 3}",10,1,0,2,2,669768,"['Company', 'Beneficial Owner', 'Company Contacts']",2,0,334884.0,0.4,0.4,0.5555555555555556,0.4440374593289462,1
Scott Ltd,ZH,"['Through its subsidiary (production of salmon and trout)', 'Unknown']","[647149.986, 'None']","{'Company': 1, 'Beneficial Owner': 2, 'Company Contacts': 4}",7,1,0,2,2,647149,"['Company', 'Beneficial Owner', 'Company Contacts']",0,2,647149.0,1.0,1.0,1.0,0.707106690085642,1
Mar del Norte United,Zawalinda,"[""Production and marketing of cold and hot smoked salmon-based products, loins and sushinettes, fillets and individual portions, chef's specials, and consumer branded products""]",[638261.6728],{'Company': 1},1,1,0,19,19,638261,['Company'],18,1,35458.944444444445,0.0026790750141003,0.0527652739791125,0.0804108983298751,8.286280321035788e-10,1
Miller PLC,ZH,"['Beverage equipment and a commercial-grade foodservice equipment', 'Unknown', 'Fresh, cured, or frozen fish and seafood']","[638008.6301, 23314.245, 16210.6839, 'None']","{'Company': 3, 'Beneficial Owner': 7, 'Company Contacts': 4}",14,1,0,6,6,677532,"['Company', 'Beneficial Owner', 'Company Contacts']",4,2,169383.0,1.0,1.0,1.0,0.707106500442864,1
Caracola del Mar Company,Nalakond,"['Frozen sea food products', 'Wholesale trade agent and broker']","[16821.6004, 623183.2707]",{'Company': 2},2,1,0,9,6,640004,['Company'],4,2,160001.0,1.0,1.0,1.0,0.707106500442864,1
Saltwater Sisters SRL Cargo,Oceanus,"['Raw shell on shrimps, block frozen, or packed I.Q.F']",[583895.9435],{'Company': 1},1,1,0,8,4,583895,['Company'],3,1,194631.66666666663,0.0005640157924421,0.0004228925348282,0.0734929895646587,8.967525160811424e-07,1
Gvardeysk Cargo  SRL Investment,Playa Solis,['Smoked salmon products'],[522907.2209],{'Company': 1},1,1,0,3,3,522907,['Company'],2,1,261453.5,0.0004230118443316,0.0008458646093254,0.0753226063406085,0.0062291201451359,1
Samaka Ltd. Liability Co Distribution,Arreciviento,"['Tuna, precooked frozen loins, sardines, fish flour, and shrimps; Canned, frozen, noodles, beverages and other high quality products']",[509951.7162],{'Company': 1},1,1,0,2,1,509951,['Company'],1,0,509951.0,1.0,0.0,1.0,0.7071067811865476,1
Roberts Ltd,ZH,"['Unknown', 'Fish and seafood product']","[503488.3664, 'None']","{'Company': 1, 'Beneficial Owner': 3}",4,1,0,2,2,503488,"['Company', 'Beneficial Owner']",1,1,503488.0,0.000282007896221,0.000282007896221,0.0661548650690745,5.59263247277094e-11,1
Diao yu bi sai  SRL,Oceanus,"['Tuna, salmon, herring, shellfish, and groundfish products', 'Fish and fish products']","[9464.9624, 488509.2742]",{'Company': 2},2,1,0,3,3,497973,['Company'],1,2,497973.0,1.0,1.0,1.0,0.707106878039843,1
OOO CJSC Marine biology,Brindisola,"['Deep sea redfish, golden redfish, haddock, cod, saithe, greenland halibut, capelin, herring and blue whiting; Manages the largest share of quotas in the ocean around Iceland']",[485626.2469],{'Company': 1},1,1,0,2,2,485626,['Company'],1,1,485626.0,1.0,1.0,1.0,0.707106690085642,1
Aqua Azul LC International,Arreciviento,['Fish and seafood products'],[469225.8061],{'Company': 1},1,1,0,3,3,469225,['Company'],3,0,156408.33333333334,0.0004230118443316,0.0005639760226077,0.0667953849776312,2.0470829095949567e-11,1
Punjab  Market Ltd. Liability Co Brothers,Ariuzima,"['Offers fish fingers, fish cakes and fillets, sausages, beef and chicken burgers, pasta, and frozen meals']",[460636.3476],{'Company': 1},1,1,0,8,4,460636,['Company'],3,1,153545.33333333334,0.0005640157924421,0.0008459043791598,0.0743856263307496,1.4671452363519889e-08,1
Sea Striders Swordfish Pic Freight,Oceanus,['Frozen seafoods'],[450666.6728],{'Company': 1},1,1,0,3,1,450666,['Company'],0,1,450666.0,0.3333333333333333,0.0,0.6,0.4082482345455792,1
Chavez Inc,ZH,"['Unknown', 'Fishes, clams, crabs, lobsters, mussels, oysters, sea urchins, shrimp and other related marine products']","[430637.2462, 'None']","{'Company': 1, 'Company Contacts': 1}",2,1,0,1,1,430637,"['Company', 'Company Contacts']",1,0,430637.0,1.0,0.0,1.0,0.7071067811865476,1
Nagaland   Sagl Marine sanctuary,Coralada,['Frozen fish blocks and fillets; Breaded products'],[422191.0686],{'Company': 1},1,1,0,1,1,422191,['Company'],0,1,422191.0,0.5,0.0,0.6666666666666666,0.5000000644180599,1
Mar del Oeste Cruise ship,Arreciviento,"['Organic and conventional aquaculture products', 'Unknown']","['Unknown', 421503.4678]",{'Company': 2},2,1,0,2,2,421503,['Company'],1,1,421503.0,1.0,1.0,1.0,0.707106690085642,1
Jammu S.A. de C.V.,Utoporiana,"['General freight trucking services', 'Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)', 'Transportation and logistics services']","[415226.6267, 22131.4619, 7839.7452]",{'Company': 3},3,1,0,15,15,445196,['Company'],12,3,37099.66666666666,0.2884615384615385,0.8001508295625943,0.3714285714285714,0.413207698581145,1
Hohhot Ges.m.b.H. Marine biology,Chrysazul,['Production of mineral and spring waters and soft drinks'],[415221.0016],{'Company': 1},1,1,0,1,1,415221,['Company'],0,1,415221.0,1.0,0.0,1.0,0.7071067811865476,1
Andhra Pradesh   Sextant Oyj Forwading,Puerto del Mar,['Marine fishing'],[409918.6728],{'Company': 1},1,1,0,10,10,409918,['Company'],10,0,40991.8,0.0014100394811054,0.0184637024300084,0.0732531116046067,9.669089976761455e-10,1
lú yú A/S Marine,Oceanus,['Fish and seafood products'],[398690.5681],{'Company': 1},1,1,0,2,1,398690,['Company'],0,1,398690.0,1.0,0.0,1.0,0.7071067811865476,1
Steven Ltd. Liability Co,Thessalandia,['Atlantic salmon and Rainbow trout'],[394790.4701],{'Company': 1},1,1,0,6,6,394790,['Company'],5,1,78958.0,1.0,1.0,1.0,0.707106500442864,1
Belgian Scallop Limited Liability Company,Andenovia,['Fish and seafoods products'],[385124.3339],{'Company': 1},1,1,0,3,3,385124,['Company'],2,1,192562.0,0.0004230118443316,0.0014094031637539,0.0642176082291261,7.718833502443759e-09,1
Brisa Marina CJSC Bonito,Mawandia,['Fish hatcheries and fish farms'],[383367.6728],{'Company': 1},1,1,0,32,16,383367,['Company'],15,1,25557.8,0.0022560631697687,0.0056320051083556,0.0650230587976418,9.58363473433271e-11,1
Zanzibar Archipelago   GmbH & Co. KG Line,Puerto Sol,"['Provides sea freight services, such as full container load; less than container load; management of shipping documents; custom consultancy and assistance; bulk cargo and project services; track and tracing services; and door to door services']",[369630.6958],{'Company': 1},1,1,0,7,7,369630,['Company'],6,1,61605.0,1.0,1.0,1.0,0.7071072096106685,1
"Hamilton, Johnson and Rose",ZH,"['Seafood products include scrumptious tuna sensations made from premium Yellowfin Tuna mixed with a selection of flavorsome ingredients, wild Canadian Pink and Red Salmon, the Lunchboxed Size Tuna sensations with crackers (Snakits), ready-to-eat marinated Greenshell Mussels']",[340428.4857],{'Company': 1},1,0,0,0,0,340428,['Company'],0,0,340428.0,0.0,0.0,0.0,0.0,1
"Aguilar, Smith and Perez",ZH,"['Ice cream and frozen food (such as pastry, vegetables, fruit, fish and seafood, and ready meals)']",[339035.9385],{'Company': 1},1,0,0,0,0,339035,['Company'],0,0,339035.0,0.0,0.0,0.0,0.0,1
Gonzalez-Morgan,ZH,"['Seafood products include Antarctic toothfish, arrow squid, barracouta, blue mackerel, gemfish, ghost shark, greenshell mussels, jack mackerel, john dory, king salmon, lemon sole, monkfish, orange roughy, patagonian toothfish, red cod, scampi, silver warehou, smooth oreo dory, snapper, and yellowbelly flounder']",[337266.5773],{'Company': 1},1,0,0,0,0,337266,['Company'],0,0,337266.0,0.0,0.0,0.0,0.0,1
Fresh Ltd. Liability Co,Marebak,"['Unknown', 'Fish and fish products']","[6733.6585, 330622.5004]",{'Company': 2},2,1,0,5,5,337355,['Company'],3,2,112451.66666666669,0.0007050197405527,0.0014096020129263,0.0724449665457888,8.444771993342052e-07,1
Mar de la Vida S.p.A.,Vesperanda,['Fish and seafood products'],[319215.2904],{'Company': 1},1,1,0,6,6,319215,['Company'],5,1,63843.0,0.1363636363636363,0.2167019027484144,0.2767295597484276,0.0676796736721543,1
Gujarat ers Limited Liability Company,Nalakond,"['Sea freight transportation services', 'Footwear, including boots, athletic shoes, high heels / stiletto heels, lace-up shoes, loafers, mary janes, moccasins, monks, mules, platform shoes, school shoes, skate shoes, tap shoes, sandals, flip flops, slippers, ballet shoes, climbing shoes, clogs, football boots, safety footwear, ski boots, snowshoes, surgical shoes and pointe shoes', 'Aquatic products (frozen chum salmon fillets, frozen Alaska Pollock fillets, frozen arrowtooth flounder fillets, frozen pacific cod fillets, salted Alaska Pollock and salted pacific cod)']","[41274.5828, 286915.4467, 5054.437]",{'Company': 3},3,1,0,7,7,333243,['Company'],4,3,83310.75,0.0009870276367738,0.0033806347790543,0.0773737439858606,5.391247920841673e-09,1
Balkan Anchovy ship Kga Brothers,Oceanus,"['Transport services by land, sea and air freight']",[285551.7684],{'Company': 1},1,1,0,1,1,285551,['Company'],0,1,285551.0,1.0,0.0,1.0,0.7071067811865476,1
Caracola Marina Seabed Company Carriers,Rio Isla,['Sushi and seafood products'],[283486.9984],{'Company': 1},1,1,0,1,1,283486,['Company'],0,1,283486.0,1.0,0.0,1.0,0.7071067811865476,1
"Taylor, Chang and Brandt",ZH,"['Catching, procurement, processing, and marketing as well as exportation and transporting of seafood and other food products']",[282004.305],{'Company': 1},1,0,0,0,0,282004,['Company'],0,0,282004.0,0.0,0.0,0.0,0.0,1
Kilimanjaro fishery Kga Nautical,Brindivaria,['Chemicals and other related products'],[276907.123],{'Company': 1},1,1,0,2,1,276907,['Company'],0,1,276907.0,1.0,0.0,1.0,0.7071067811865476,1
Haryana Sea  Marine ecology,Osterivaro,"['Frozen food products, specializing in shrimps, fish and other frozen processed food']",[274733.2409],{'Company': 1},1,1,0,10,5,274733,['Company'],4,1,68683.25,0.0892857142857142,0.2032467532467532,0.2162162162162162,0.0659207417842006,1
Senegal Coast  S.p.A. International,Zawalinda,['Salmon and scallop products'],[270332.6728],{'Company': 1},1,1,0,3,3,270332,['Company'],2,1,135166.0,1.0,1.0,1.0,0.707106878039843,1
Haryana s Catchers ОАО Enterprises,Mawandia,"['Harvests a wide variety of marine animals, ranging from tuna, cod and salmon to shrimp, krill, lobster, clams, squid and crab, in various fisheries for these species']",[268301.6728],{'Company': 1},1,1,0,31,31,268301,['Company'],30,1,8943.366666666667,0.2583333333333333,0.2216386554621848,0.208695652173913,0.4830543899142463,1
"Murphy, Fisher and Barnes",ZH,['Frozen fish blocks and fillets; Breaded products; Fish portions; fish fingers; shaped fillets; fish figures; fish burgers; fish nuggets; fish cubes; fish loins'],[256738.5963],{'Company': 1},1,0,0,0,0,256738,['Company'],0,0,256738.0,0.0,0.0,0.0,0.0,1
"Monroe, Smith and Miller",ZH,"['Frozen processed fish (fresh whitefish, frozen whitefish, frozen fish fillet, deep-frozen seafood, salted fish, and dried fish)']",[250254.9871],{'Company': 1},1,0,0,0,0,250254,['Company'],0,0,250254.0,0.0,0.0,0.0,0.0,1
Bahía Dorada NV Cargo,Nalakond,['Fish and seafoods products'],[250199.7862],{'Company': 1},1,1,0,16,16,250199,['Company'],15,1,16679.933333333334,0.8421052631578947,0.9649122807017544,0.7916666666666666,0.7050493670659065,1
"Caldwell, Wood and Parker",ZH,['Fish and fish products'],[246346.5894],{'Company': 1},1,0,0,0,0,246346,['Company'],0,0,246346.0,0.0,0.0,0.0,0.0,1
Monroe-Miller,ZH,['Fish and seafood products'],[246135.5818],{'Company': 1},1,0,0,0,0,246135,['Company'],0,0,246135.0,0.0,0.0,0.0,0.0,1
Perla del Mar BV,Arreciviento,"['Unknown', 'Canning, processing and manufacturing of seafood and other aquatic products', 'Fishing activities']","[15784.5473, 12743.7965, 246079.0798]",{'Company': 3},3,1,0,5,5,274606,['Company'],3,2,91535.33333333331,0.625,0.7857142857142857,0.6153846153846154,0.6532786936293301,1
Costa de Oro S.p.A.,Oceanus,"['Smoked salmon, smoked salmon spreads, pickled and marinated herring, shrimp cocktail, groundfish, caviar, lobster pÃ¢tÃ©, crab, and halibut']",[244666.6728],{'Company': 1},1,1,0,2,1,244666,['Company'],0,1,244666.0,1.0,0.0,1.0,0.7071067811865476,1
Allen Ltd,ZH,"['Fresh tuna; Sea bass; Yellowfin tuna', 'Unknown']","[242308.1819, 'None']","{'Company': 1, 'Beneficial Owner': 1, 'Company Contacts': 2}",4,1,0,4,4,242308,"['Company', 'Beneficial Owner', 'Company Contacts']",2,2,121154.0,0.8,0.9,0.8333333333333334,0.6767657319837915,1
Water Wonders S.A. de C.V.,Lumindoria,"['Frozen fish and fish products', 'Sausages, fine canned foods, foie gras, truffles, mushrooms, gastronomic patties, ready-made meals, and other prepared meat products']","[238643.2665, 192572.7006]",{'Company': 2},2,1,0,10,10,431215,['Company'],8,2,53901.875,0.0014100394811054,0.0067552643131037,0.0568829856348805,1.8219059313423918e-13,1
Coastal Currents Sagl America,Oceanus,"['Canned seafood, canned fruits, marmelades, asparagus 6/9 T-580ml, light tuna VENTRESCA OL-120 OLIVE FA Diamir, pepper PIQ. Whole hood T-370ml Diamir, canned vegetables, ready meals, and mushrooms']",[233976.9777],{'Company': 1},1,1,0,1,1,233976,['Company'],0,1,233976.0,0.5,0.0,0.6666666666666666,0.5000000644180599,1
Aqua Anchor Sagl Marine sanctuary,Puerto del Mar,"['Fishmeal, raw fish oil, and canned and frozen fish products']",[230069.7363],{'Company': 1},1,1,0,16,16,230069,['Company'],15,1,15337.933333333332,0.0022560631697687,0.0056321641876935,0.0774853321970566,7.407565213296967e-07,1
Atlantic Ocean Coast  ОАО Investment,Oceanus,['Preparing fresh and raw or cooked frozen fish and other seafoods and seafood preparations'],[227815.3964],{'Company': 1},1,1,0,12,12,227815,['Company'],11,1,20710.454545454544,0.0016920473773265,0.0091646641795908,0.0782013254088147,1.7027176448624625e-08,1
Horton-Fields,ZH,"['Lobsters and other seafood (a selection of lobsters including live, whole cooked, whole raw, tails, and fresh cooked and chilled; and gourmet prepared lobsters such as split and clean, leg and horn meat, and heads and paste)']",[223846.6726],{'Company': 1},1,0,0,0,0,223846,['Company'],0,0,223846.0,0.0,0.0,0.0,0.0,1
Johnson Inc,ZH,"['Offers fish powders, extracts, fish oils, natural gums, wheat germ, fiber, garlic, aloe vera, flax, grape seed, willow, green tea, minerals, yeasts, and acid bacteria', 'Unknown', 'Crops, such as tobacco, cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds', 'Steering parts, such as steering tie rods, steering linkages, and torsion bars; suspension parts, which include aluminum suspension links, suspension ball joints/links, and stabilizer connecting rods; and miniature joints and height sensor joints; Provides linkage type load sensing valves; and cold forged and precision plastic products; Imports and exports automotive parts']","['None', 223561.6807, 'Unknown', 21615.2708]","{'Company': 4, 'Beneficial Owner': 8, 'Company Contacts': 6}",18,1,0,16,16,245176,"['Company', 'Beneficial Owner', 'Company Contacts']",14,2,17512.571428571428,0.5517241379310345,0.8300492610837439,0.5370370370370371,0.6962744647640614,1
Zambezi Gorge  Incorporated Consulting,Thessalandia,"['Frozen and salted fish products (Frozen-at-sea fish (cod, haddock, redfish, greenland halibut, herring, mackerel, salmon, and trout); as well as prawns)']",[214510.7705],{'Company': 1},1,1,0,6,6,214510,['Company'],5,1,42902.0,0.0008460236886632,0.0045057631660224,0.0466950664673852,4.4261732079235495e-14,1
Lake Victoria Catch  GmbH,Oceanus,"['Deep-sea tuna longline fishing, deep-sea and coastal purse seiner fishing, crab fishing, bottom longline fishing and slern trawl fishing, tuna farming, manufacturing and trading of dehydrated food and various type of seasonings, and import and export of marine products']",[213330.8499],{'Company': 1},1,1,0,5,5,213330,['Company'],4,1,53332.5,0.8333333333333333,0.3333333333333333,0.8571428571428571,0.5000004440850927,1
Kong zhong diao yu  Ges.m.b.H.,Oceanus,"['Individually customized freight services, from door-to-door consolidation to heavy-lift air freight charters; Global maritime services including ocean forwarding, weekly LCL consolidation, FCL container management as well as out-of-gauge shipment services']",[212666.6728],{'Company': 1},1,1,0,12,6,212666,['Company'],5,1,42533.2,0.0008460236886632,0.0014096417827607,0.0845020076971654,7.093149062227335e-05,1
"Buchanan, Walker and Orr",ZH,['Fish and seafood products'],[211673.2103],{'Company': 1},1,0,0,0,0,211673,['Company'],0,0,211673.0,0.0,0.0,0.0,0.0,1
Arunachal Pradesh s Plc,Oceanus,"['Fish, crustaceans and other seafood', 'Unknown', 'Manufacturing, engraving, chasing, or etching jewelry and metal personal goods and other small articles']","[6859.0679, 12236.6728, 210933.2061]",{'Company': 3},3,1,0,6,6,230028,['Company'],3,3,76676.0,0.8571428571428571,0.9523809523809524,0.875,0.6943475618288564,1
Cross-Mclaughlin,ZH,['Fish products including crustaceans and molluscs'],[209847.05],{'Company': 1},1,0,0,0,0,209847,['Company'],0,0,209847.0,0.0,0.0,0.0,0.0,1
Baker-Miller,ZH,['Fish and seafood'],[205666.6728],{'Company': 1},1,0,0,0,0,205666,['Company'],0,0,205666.0,0.0,0.0,0.0,0.0,1
"Wyatt, Sanchez and Dunlap",ZH,['Canned and cured fish and seafoods'],[205297.7327],{'Company': 1},1,0,0,0,0,205297,['Company'],0,0,205297.0,0.0,0.0,0.0,0.0,1
Paradera Limited Liability Company,Thessalandia,"['Whitefish, shellfish, salmon and salmon trout']",[204828.6847],{'Company': 1},1,1,0,9,9,204828,['Company'],8,1,25603.5,0.9,0.977777777777778,0.9090909090909092,0.7018094837942414,1
Henderson-Padilla,ZH,"[""Risers, staging and platforms (StageTek Staging, VersaliteÂ® Staging, Trouper Staging, StagehandÂ® Staging Choral Risers, Seated Risers, STRATA Orchestra Pit Filler, ADA Compliant Disability Ramp, Stagemobile Mobile Stage); storage products (media storage, instrument storage, garment storage, sheet music storage, classroom storage, storage carts, GearBoss Shelving, music lab workstations); music chairs (symphony chair, musician chair, student chair, cellist chair, string bassist/percussionist chair, Nota conductorâ€™s chair, Ensemble Stool, sousaphone chair, portable audience chair, high density portable audience chair, fixed audience seating); music stands (stand lights, universal tablet stand, Gig Stand Music Stand, Preface Conductorâ€™s Stand, large music stand cart, acoustic shield, cymbal holder); conductorâ€™s equipment (FlexÂ® Conductor's System, Conductor's Chair, NotaÂ® Conductor's Chair, Preface Conductor's Stand Director's Stand, Director's Stand, Rehearsal Resource Center, Folding Conductor's Podium); teaching tools (teacherTAXIÂ®, Rehearsal Resource Center, Stereo Workstation, Stage Boxes, Poster/Teaching Storage Cabinet, Small Instrument Cabinet, ORFFgarageÂ®, Music Lab Workstations, Wardrobe Cabinet, Bookcases); sound isolation solutions (acoustical door, VAE Package upgrade); acoustical shells and panels; theater products; marching band products (uniform cart, cargo cart, timpani cart, auxiliary podium); and athletic products (mobile kiosk, customizable wood lockers, field podium""]",[200666.6728],{'Company': 1},1,0,0,0,0,200666,['Company'],0,0,200666.0,0.0,0.0,0.0,0.0,1
Surf and Sea Marine,Arreciviento,['Fish hatcheries and preserves'],[199297.234],{'Company': 1},1,1,0,3,3,199297,['Company'],3,0,66432.33333333333,1.0,1.0,1.0,0.707106878039843,1
Isla del Este Kga Tidepool,Rio Isla,"['Fish and seafoods, such as fresh shellfish, crustaceans and molluscs, fresh and frozen fillet']",[198243.4371],{'Company': 1},1,1,0,1,1,198243,['Company'],0,1,198243.0,0.0001410039481105,0.0,0.0388609127821279,2.277550033425008e-13,1
ReefR estaurant Oyj International,Coralada,['Smoked fish products'],[192522.5787],{'Company': 1},1,1,0,6,6,192522,['Company'],5,1,38504.4,1.0,1.0,1.0,0.707106500442864,1
SeaBass &  LC Marine life,Nalakond,['Seafood and frozen cephalopods'],[186171.1696],{'Company': 1},1,1,0,21,7,186171,['Company'],6,1,31028.5,0.0009870276367738,0.002536480272611,0.0753258064173508,0.0062314202892116,1
Bahía de Coral Ltd. Corporation Transport,Oceanus,"['Sells seafood products including salmon, sushi neta, tuna, shrimp, crab, roe products (Kazunoko, Ikura, Sujiko and Tarako) and roe herring']",[176402.164],{'Company': 1},1,1,0,2,1,176402,['Company'],0,1,176402.0,1.0,0.0,1.0,0.7071067811865476,1
Zambezi Valley  Ltd. Corporation,Brindisola,['Frozen fish and seafood'],[175429.0509],{'Company': 1},1,1,0,4,4,175429,['Company'],3,1,58476.333333333336,1.0,1.0,1.0,0.7071069290249942,1
Sudd Swamp   Pic Overseas,Arreciviento,['Fish and seafoods products'],[175120.6728],{'Company': 1},1,1,0,6,6,175120,['Company'],5,1,35024.0,0.24,0.5666666666666667,0.3968253968253968,0.4687595205656881,1
